group_entry_name,sku,stock,allocated,price_per_unit,cost_price,incoming,cover_14,cover_30,cover_90,sell_through,units_sold,units_sold_in_kits,total_units_sold,profit,profit_margin_percent,gross_sales
1.5 kw Heater Portables + p/switch,KK-10314,0,0,56.2425,69.99,0,0.0,2.0,6.0,less than a minute,5,0.0,5.0,-49.99,6.67,299.96
200 SQ FT SWIM SPA FILTER SET,KA-10008,3,0,62.5,40.0,0,0,0,0,3 months,3,0.0,3.0,130.0,68.0,250.0
200 SQ FT SWIM SPA FILTER SET - MICROBAN,KA-10009,201,0,151.494,50.0,0,0,0,0,about 7 years,6,0.0,6.0,572.05,66.09,872.05
2 X 25 SQ FT FILTER (VANCOUVER 777SE),KA-10096,-1,0,41.67,14.0,0,1.0,1.0,1.0,3 months,1,0.0,1.0,27.67,66.4,41.67
33/8in Poly Storm Directional Jet - Grey,KK-10459,48,0,21.66,12.0,0,0,0,0,almost 6 years,2,0.0,2.0,19.32,44.6,43.32
33/8in Poly Storm Direct - s/s,KK-10458,67,2,22.49,10.0,0,0,0,0,over 16 years,1,0.0,1.0,12.49,55.54,22.49
33/8in Poly Storm Massage Jet - Grey,KK-10465,52,0,20.83,9.0,0,0,0,0,almost 13 years,1,0.0,1.0,11.83,56.8,20.83
33/8in Poly Storm Twin Roto - s/s,KK-10460,47,1,22.49,10.0,0,0,0,0,over 11 years,1,0.0,1.0,12.49,55.54,22.49
3/4in Drain Valve Assembly - Green,KK-10519,19,0,13.33,5.0,0,0,0,0,over 4 years,1,0.0,1.0,8.33,62.49,13.33
35 sqft Float Filter Housing Asssembly - Charcoal,KK-10663,0,0,116.66,45.0,0,0.0,1.0,3.0,less than a minute,1,0.0,1.0,71.66,61.43,116.66
35 SQ FT OPEN FILTER,KA-10006,88,3,17.2977777777777778,20.0,0,0,0,0,over 1 year,15,0.0,15.0,-30.28,8.3971428571428571,269.72
35 SQ FT OPEN FILTER MICROBAN,KA-10007,49,0,33.33,11.0,99,0,0,0,about 12 years,1,0.0,1.0,22.33,67.0,33.33
50 SQ FT OPEN FILTER - MICROBAN,KA-10004,885,0,45.37,20.0,0,0,0,0,over 7 years,29,0.0,29.0,1057.86,52.8036363636363636,1637.86
50 SQ FT OPEN FILTER ( Slip ),KA-10034,87,4,29.5323529411764706,11.0,0,0,0,0,8 months,29,73.0,102.0,527.29,64.48125,846.29
50 SQ FT OPEN FILTER (SLIP) - 2x PACK,KA-10040,0,0,34.7835294117647059,22.0,0,4.0,10.0,30.0,less than a minute,36,0.0,36.0,490.65,36.1860606060606061,1282.65
50 SQ FT THREADED FILTER,KA-10033,198,0,27.9077777777777778,11.0,0,0,0,0,5 months,109,40.0,149.0,2416.67,62.86875,3615.67
50 SQ FT THREADED FILTER - 2x PACK,KA-10041,0,0,38.0935714285714286,22.0,0,0.0,0.0,0.0,less than a minute,16,0.0,16.0,247.98,41.6138461538461538,599.98
50 SQ FT THREADED FILTER MICROBAN,KA-10005,1378,2,52.3377777777777778,22.0,0,0,0,0,about 3 years,108,2.0,110.0,2675.9,61.56375,5051.9
50 SQ FT THREADED FILTER - MICROBAN - 2x PACK,KA-10042,0,0,66.67,44.0,0,0.0,0.0,0.0,less than a minute,1,0.0,1.0,22.67,34.0,66.67
5in Power Storm Directional Jet - s/s,KK-10474,19,5,33.33,7.95,0,0,0,0,over 2 years,2,0.0,2.0,50.76,76.15,66.66
5in Power Storm Massage Jet - Grey,KK-10483,60,1,29.16,7.48,0,0,0,0,almost 15 years,1,0.0,1.0,21.68,74.35,29.16
5in Power Storm Massage Jet - s/s,KK-10482,35,6,33.33,11.02,0,0,0,0,about 2 years,4,0.0,4.0,89.23,66.93,133.31
ABS TOP MOUNT COVER LIFTER BRACKET,KK-10140,92,0,30.5284210526315789,20.0,0,0,0,0,9 months,28,0.0,28.0,247.54,36.2182352941176471,807.54
ALBERTA PLATINUM 2007 - 2009 FULL PILLOW SET,KK-10719,0,0,0.0,0.0,0,0.0,0.0,0.0,less than a minute,1,0.0,1.0,0.0,0.0,0.0
ALBERTA SE 57 JET 6 PERSON HOT TUB,KH-10018,5,4,4250.6333333333333333,5000.0,0,0,0,0,4 months,4,0.0,4.0,-4746.16,-31.6966666666666667,15253.84
Alkalinity Booster,KA-10056,1108,0,8.5623809523809524,5.0,0,0,0,0,about 6 years,45,2.0,47.0,154.78,41.050952380952381,379.78
APW900 Heated Air Blower,KK-10325,19,9,94.735,31.03,0,0,0,0,4 months,9,0.0,9.0,581.53,77.16,860.8
Aromatherapy Canister for V2 PCU,KK-10756,70,2,1.6668,20.0,0,0,0,0,7 months,29,1.0,30.0,-538.33,52.0,41.67
Aromatherapy Canister - spa,KK-10209,25,0,19.885,3.61,50,0,0,0,about 3 years,2,0.0,2.0,32.55,81.575,39.77
"Ash Polymer PVC 2 Tier Portable Hot Tub Steps for Spa, Caravan, Camper",KF-10045,83,0,17.220952380952381,20.0,0,0,0,0,10 months,25,1.0,26.0,-138.36,69.26,361.64
Balboa 12in Heater Sensor,KK-10415,75,0,29.16,15.34,0,0,0,0,over 18 years,1,0.0,1.0,13.82,47.39,29.16
Balboa 2005LE Circuit Board (Ontario) p/n:52271,KK-10334,10,0,145.835,127.87,0,0,0,0,about 1 year,2,0.0,2.0,35.93,56.16,291.67
Balboa 2.0kW Heater with 2 x sensors,KK-10152,32,0,168.175,53.05,0,0,0,0,almost 4 years,2,0.0,2.0,230.25,68.455,336.35
Balboa 24in Heater Sensor,KK-10416,17,0,31.245,20.99,0,0,0,0,about 2 years,2,0.0,2.0,20.51,32.51,62.49
Balboa  2kw BP Heater,KK-10286,29,0,0.0,53.03,0,0,0,0,over 3 years,1,0.0,1.0,-53.03,0.0,0.0
Balboa 3.0KW Heater + p/switch,KK-10315,21,0,133.336,53.01,0,0,0,0,8 months,6,0.0,6.0,348.62,68.19,666.68
Balboa 3kw BP Heater,KK-10285,31,12,0.0,53.05,0,0,0,0,9 months,3,2.0,5.0,-159.15,0.0,0.0
Balboa 3KW Heater + 2 sensors,KK-10313,17,1,101.9466666666666667,53.05,0,0,0,0,4 months,7,1.0,8.0,315.33,52.258,686.68
Balboa 5.5kw Heater - BP series,KK-10009,4,0,208.33,56.59,0,0,0,0,12 months,1,0.0,1.0,151.74,72.84,208.33
Balboa Cable gland / locker,KK-10392,53,0,8.33,1.0,0,0,0,0,about 13 years,1,0.0,1.0,7.33,87.99,8.33
